Common Name,Scientific Name,Min Temp,Max Temp,Preferred Min Temp,Preferred  Max Temp,Min Depth,Max Depth
Arrowtooth Flounder,Atheresthes stomias,,,2,7,-18,-950
Bocaccio,Sebastes paucispinis,,,4,9,0,-476
Canary Rockfish,Sebastes pinniger,5,26,4,8,0,-838
Chinook Salmon,Oncorhynchus tshawytscha,0,25,0,8,0,-375
Chum Salmon,Oncorhynchus keta,0,24,1,9,0,-250
Coho Salmon,Oncorhynchus kisutch,0,25,1,9,0,-250
Dover Sole,Microstomus pacificus,,,1,7,-10,-1370
English Sole,Parophrys vetulus,,,3,9,0,-550
Flathead Sole,Hippoglossoides elassodon,,,5,12,0,-1050
Lingcod,Ophiodon elongatus,,,4,9,0,-475
Northern Anchovy,Engraulis mordax,,,7,15,0,-310
Pacific Cod,Gadus macrocephalus,6,9,0,7,-10,-1280
Pacific Halibut,Hippoglossus stenolepis,,,1,6,0,-1200
Pacific Ocean Perch,Sebastes alutus,,,1,7,0,-825
Pacific Sardine,Sardinops sagax,9,21,9,26,0,-200
Pacific Whiting,Merluccius productus,,,7,13,0,-1000
Petrale Sole,Eopsetta jordani,,,1,9,0,-550
Pink Salmon,Oncorhynchus gorbuscha,0,21,0,10,0,-250
Rex Sole,Glyptocephalus zachirus,,,1,8,0,-900
Pacific Rock Sole,Lepidopsetta billineta ,,,1,10,0,-575
Northern Rock Sole,Lepidopsetta polyxystra,,,1,9,0,-700
Sablefish,Anoplopoma fimbria,,,1,6,-175,-2740
Shortspine Thornyhead,Sebastolobus alascanus,,,1,7,-17,-1600
Sockeye Salmon,Oncorhynchus nerka,,,1,9,0,-250
Widow Rockfish,Sebastes entomelas,,,3,9,0,-549
Yellowtail Rockfish,Sebastes flavidus,,,4,12,0,-549